"player_id","player_name.x","SALARY","fantasy_points","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"adamsst01","Steven Adams",22471910,2062,"C",24,"OKC",76,76,2487,448,712,0.629,0,2,0,448,710,0.631,0.629,160,286,0.559,384,301,685,88,92,78,128,215,1056
"adebaba01","Bam Adebayo",2955840,1036.7,"C",20,"MIA",69,19,1368,174,340,0.512,0,7,0,174,333,0.523,0.512,129,179,0.721,118,263,381,101,32,41,66,138,477
"aldrila01","LaMarcus Aldridge",21461010,2546,"C",32,"SAS",75,75,2509,687,1347,0.51,27,92,0.293,660,1255,0.526,0.52,334,399,0.837,246,389,635,152,43,90,111,161,1735
"allenja01","Jarrett Allen",2034120,1162.1,"C",19,"BRK",72,31,1441,234,397,0.589,5,15,0.333,229,382,0.599,0.596,114,147,0.776,144,244,388,49,28,88,82,147,587
"aminual01","Al-Farouq Aminu",7319035,1500,"PF",27,"POR",69,67,2072,230,582,0.395,125,339,0.369,105,243,0.432,0.503,59,80,0.738,97,428,525,84,79,40,79,136,644
"anderky01","Kyle Anderson",2151704,1515.2,"SF",24,"SAS",74,67,1978,231,438,0.527,19,57,0.333,212,381,0.556,0.549,104,146,0.712,84,312,396,202,115,60,94,114,585
"anderry01","Ryan Anderson",19578455,1080.2,"PF",29,"HOU",66,50,1725,207,480,0.431,131,339,0.386,76,141,0.539,0.568,72,93,0.774,94,237,331,60,24,21,42,126,617
"antetgi01","Giannis Antetokounmpo",24157303,3179.1,"PF",23,"MIL",75,75,2756,742,1402,0.529,43,140,0.307,699,1262,0.554,0.545,487,641,0.76,156,597,753,361,109,106,223,231,2014
"anthoca01","Carmelo Anthony",26243760,1904.1,"PF",33,"OKC",78,78,2501,472,1168,0.404,169,474,0.357,303,694,0.437,0.476,148,193,0.767,67,386,453,103,47,49,99,197,1261
"anunoog01","OG Anunoby",2034120,789.3,"SF",20,"TOR",74,62,1481,163,346,0.471,73,197,0.371,90,149,0.604,0.577,39,62,0.629,44,140,184,55,52,14,45,130,438
"arizatr01","Trevor Ariza",7420912,1386.3,"SF",32,"HOU",67,67,2269,268,651,0.412,170,462,0.368,98,189,0.519,0.542,76,89,0.854,33,261,294,105,98,13,52,132,782
"augusdj01","D.J. Augustin",7250000,1209.5,"PG",30,"ORL",75,36,1760,244,540,0.452,114,272,0.419,130,268,0.485,0.557,164,189,0.868,30,130,160,287,54,0,123,94,766
"bacondw01","Dwayne Bacon",1378242,373.8,"SG",22,"CHO",53,6,713,72,192,0.375,11,43,0.256,61,149,0.409,0.404,20,25,0.8,4,120,124,38,16,2,23,46,175
"balllo01","Lonzo Ball",6286560,1618,"PG",20,"LAL",52,50,1780,203,564,0.36,90,295,0.305,113,269,0.42,0.44,32,71,0.451,69,291,360,376,88,43,136,117,528
"bareajo01","J.J. Barea",3903900,1546.2,"PG",33,"DAL",69,10,1603,303,690,0.439,115,313,0.367,188,377,0.499,0.522,80,102,0.784,15,186,201,434,35,3,143,83,801
