Name,Team,Salary
"Tony Snell, SG",Milwaukee Bucks,10607143.00
NAME,TEAM,SALARY
"Bojan Bogdanovic, SF",Indiana Pacers,10500000.00
"Terrence Ross, SG",Orlando Magic,10500000.00
"Mirza Teletovic, PF",Milwaukee Bucks,10500000.00
"Robert Covington, PF",Philadelphia 76ers,10464092.00
"Iman Shumpert, SG",Cleveland Cavaliers,10337079.00
"Maurice Harkless, SF",Portland Trail Blazers,10162922.00
"Jon Leuer, F",Detroit Pistons,10002681.00
"Jared Dudley, SF",Phoenix Suns,10000000.00
"Danny Green, SG",San Antonio Spurs,10000000.00
"Darren Collison, G",Indiana Pacers,10000000.00
NAME,TEAM,SALARY
"Al Jefferson, C",Indiana Pacers,10000000.00
"Meyers Leonard, PF",Portland Trail Blazers,9904495.00
"Matthew Dellavedova, PG",Milwaukee Bucks,9607500.00
"Bogdan Bogdanovic, SG",Sacramento Kings,9412280.00
"Norman Powell, SG",Toronto Raptors,9367200.00
"Josh Richardson, SG",Miami Heat,9367200.00
"Andre Roberson, SG",Oklahoma City Thunder,9259260.00
"Dwight Powell, PF",Dallas Mavericks,9003125.00
"Gerald Henderson, SG",Philadelphia 76ers,9000000.00
"Avery Bradley, PG",LA Clippers,8808989.00
NAME,TEAM,SALARY
"Markieff Morris, PF",Washington Wizards,8600000.00
"Jerryd Bayless, G",Philadelphia 76ers,8575916.00
"JaMychal Green, PF",Memphis Grizzlies,8533333.00
"Cristiano Felicio, PF",Chicago Bulls,8470980.00
"E'Twaun Moore, SG",New Orleans Pelicans,8445024.00
"Rudy Gay, SF",San Antonio Spurs,8406000.00
"Kosta Koufos, C",Sacramento Kings,8393000.00
"Markelle Fultz, PG",Philadelphia 76ers,8339880.00
"Garrett Temple, SG",Sacramento Kings,8000000.00
"Kevin Garnett, PF",Minnesota Timberwolves,8000000.00
NAME,TEAM,SALARY
"Yi Jianlian, SF",Los Angeles Lakers,8000000.00
"Vince Carter, SG",Sacramento Kings,8000000.00
"Cory Joseph, PG",Indiana Pacers,7945000.00
"C.J. Miles, SG",Toronto Raptors,7936509.00
"Shaun Livingston, G",Golden State Warriors,7692308.00
"PJ Tucker, PF",Houston Rockets,7590035.00
"Corey Brewer, F",Oklahoma City Thunder,7579366.00
"Andrew Wiggins, SF",Minnesota Timberwolves,7574323.00
"Kyle Korver, SG",Cleveland Cavaliers,7560000.00
"Boris Diaw, C",Utah Jazz,7500000.00
NAME,TEAM,SALARY
"Jeremy Lamb, SG",Charlotte Hornets,7488372.00
"Darrell Arthur, F",Denver Nuggets,7464912.00
"Trevor Ariza, SF",Houston Rockets,7420912.00
"Channing Frye, F",Los Angeles Lakers,7420912.00
"Festus Ezeli, C",Portland Trail Blazers,7400000.00
"Al-Farouq Aminu, PF",Portland Trail Blazers,7319035.00
"Cole Aldrich, C",Minnesota Timberwolves,7300000.00
"D.J. Augustin, PG",Orlando Magic,7250000.00
"Dewayne Dedmon, C",Atlanta Hawks,7200000.00
"Lance Thomas, F",New York Knicks,7119650.00
NAME,TEAM,SALARY
"D'Angelo Russell, SG",Brooklyn Nets,7019698.00
"Lou Williams, SG",LA Clippers,7000000.00
"Rodney Stuckey, PG",Indiana Pacers,7000000.00
"Langston Galloway, SG",Detroit Pistons,7000000.00
"Boban Marjanovic, C",LA Clippers,7000000.00
"Jae Crowder, SF",Utah Jazz,6796117.00
"Carl Landry, PF",Philadelphia 76ers,6500000.00
"Ben Simmons, PG",Philadelphia 76ers,6434520.00
"Tim Duncan, C",San Antonio Spurs,6393750.00
"Andrew Nicholson, F",Guangzhou Guangzhou Long-Lions,6362998.00
NAME,TEAM,SALARY
"Ed Davis, C",Portland Trail Blazers,6352531.00
"Lonzo Ball, PG",Los Angeles Lakers,6286560.00
"Isaiah Thomas, PG",Los Angeles Lakers,6261395.00
"Karl-Anthony Towns, C",Minnesota Timberwolves,6216840.00
"Spencer Hawes, PF",Milwaukee Bucks,6061175.00
"Josh McRoberts, PF",Dallas Mavericks,6021175.00
"Shelvin Mack, G",Orlando Magic,6000000.00
"Jonathon Simmons, G",Orlando Magic,6000000.00
"Ish Smith, PG",Detroit Pistons,6000000.00
"Alan Williams, C",Phoenix Suns,6000000.00
NAME,TEAM,SALARY
"Milos Teodosic, G",LA Clippers,6000000.00
"Wesley Johnson, F",LA Clippers,5882260.00
"Alex Abrines, G",Oklahoma City Thunder,5725000.00
"Kristaps Porzingis, PF",New York Knicks,5697054.00
"Jayson Tatum, PF",Boston Celtics,5645400.00
"Jared Sullinger, C",Phoenix Suns,5628000.00
"Brandon Ingram, SF",Los Angeles Lakers,5519400.00
"Patrick Beverley, PG",LA Clippers,5513514.00
"Luis Scola, F",Shanghai Sharks,5500000.00
"Thabo Sefolosha, SF",Utah Jazz,5500000.00
NAME,TEAM,SALARY
"Jason Smith, F",Washington Wizards,5450000.00
"Ben McLemore, SG",Memphis Grizzlies,5200000.00
"Patrick Patterson, PF",Oklahoma City Thunder,5192000.00
"Nick Young, G",Golden State Warriors,5192000.00
"Josh Jackson, SG",Phoenix Suns,5090040.00
"Mike Muscala, PF",Atlanta Hawks,5000000.00
"C.J. Watson, PG",Orlando Magic,5000000.00
"Marcus Morris Sr., SF",Boston Celtics,5000000.00
"Dirk Nowitzki, F",Dallas Mavericks,5000000.00
"Dante Exum, PG",Utah Jazz,4992385.00
NAME,TEAM,SALARY
"Jonathan Isaac, PF",Orlando Magic,4969080.00
"Alexis Ajinca, C",LA Clippers,4961798.00
"Jaylen Brown, SG",Boston Celtics,4956480.00
"Mike Dunleavy, SG",Atlanta Hawks,4837500.00
"Kyle Singler, F",Oklahoma City Thunder,4666500.00
"De'Aaron Fox, PG",Sacramento Kings,4609200.00
"Ron Baker, G",New York Knicks,4544000.00
"Lauri Markkanen, PF",Chicago Bulls,4536120.00
"Dragan Bender, SF",Phoenix Suns,4468800.00
"Devin Harris, G",Denver Nuggets,4402546.00
NAME,TEAM,SALARY
"Justin Holiday, SF",Chicago Bulls,4384616.00
"Greivis Vasquez, PG",Brooklyn Nets,4347826.00
"Jamal Crawford, G",Minnesota Timberwolves,4328000.00
"Emmanuel Mudiay, PG",New York Knicks,4294480.00
"Kris Dunn, PG",Chicago Bulls,4221000.00
"Nerlens Noel, C",Dallas Mavericks,4187599.00
"Alex Len, C",Phoenix Suns,4187599.00
"Frank Ntilikina, PG",New York Knicks,4155720.00
"Julius Randle, PF",Los Angeles Lakers,4149242.00
"Leandro Barbosa, G",Flamengo Flamengo,4000000.00
NAME,TEAM,SALARY
"Jordan Hill, C",Minnesota Timberwolves,4000000.00
"Jonas Jerebko, F",Utah Jazz,4000000.00
"Nemanja Bjelica, PF",Minnesota Timberwolves,3949999.00
"Stanley Johnson, SF",Detroit Pistons,3940402.00
"J.J. Barea, PG",Dallas Mavericks,3903900.00
"Quincy Pondexter, F",Chicago Bulls,3853931.00
"Willie Cauley-Stein, C",Sacramento Kings,3704160.00
"Buddy Hield, SG",Sacramento Kings,3675480.00
"Frank Kaminsky, PF",Charlotte Hornets,3627842.00
"Drew Gooden, PF",Washington Wizards,3547000.00
NAME,TEAM,SALARY
"Will Barton, SG",Denver Nuggets,3533333.00
"Paul Pierce, SF",LA Clippers,3527920.00
"Mike Miller, SG",Denver Nuggets,3500000.00
"Nene Hilario, C",Houston Rockets,3477600.00
"Zaza Pachulia, C",Golden State Warriors,3477600.00
"Jodie Meeks, G",Washington Wizards,3454500.00
"Justise Winslow, SF",Miami Heat,3448926.00
"Malik Monk, SG",Charlotte Hornets,3447480.00
"Myles Turner, C",Indiana Pacers,3410284.00
"Troy Daniels, SG",Phoenix Suns,3408520.00
NAME,TEAM,SALARY
"Jamal Murray, PG",Denver Nuggets,3355320.00
"Elfrid Payton, PG",Phoenix Suns,3332340.00
"Rajon Rondo, PG",New Orleans Pelicans,3300000.00
"Doug McDermott, SF",New York Knicks,3294994.00
"Anthony Tolliver, PF",Detroit Pistons,3290000.00
"Tyreke Evans, G",Memphis Grizzlies,3290000.00
"Tarik Black, C",Houston Rockets,3290000.00
