"player_id","player_name.x","SALARY","fantasy_points","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"hawessp01","Spencer Hawes",6348759,530.2,"PF",28,"CHO",35,1,626,104,218,0.477,16,55,0.291,88,163,0.54,0.514,30,34,0.882,32,114,146,62,13,26,40,61,254
"hawessp01","Spencer Hawes",6348759,684.7,"PF",28,"TOT",54,1,797,134,277,0.484,25,81,0.309,109,196,0.556,0.529,44,52,0.846,38,153,191,81,15,30,49,77,337
"haywago01","Gordon Hayward",16073140,2135.8,"SF",26,"UTA",73,73,2516,545,1156,0.471,149,374,0.398,396,782,0.506,0.536,362,429,0.844,49,345,394,252,73,20,140,117,1601
"hensojo01","John Henson",12517606,919.5,"C",26,"MIL",58,39,1123,159,309,0.515,0,1,0,159,308,0.516,0.515,74,107,0.692,92,203,295,57,29,78,52,151,392
"hezonma01","Mario Hezonja",3909840,577.2,"SF",21,"ORL",65,2,960,117,330,0.355,43,144,0.299,74,186,0.398,0.42,40,50,0.8,20,126,146,62,30,15,58,74,317
"hieldbu01","Buddy Hield",3517200,775.7,"SG",24,"NOP",57,37,1161,185,471,0.393,89,241,0.369,96,230,0.417,0.487,29,33,0.879,19,147,166,77,18,7,48,81,488
"hieldbu01","Buddy Hield",3517200,523.6,"SG",24,"SAC",25,18,727,142,296,0.48,59,138,0.428,83,158,0.525,0.579,35,43,0.814,16,87,103,44,20,2,53,34,378
"hieldbu01","Buddy Hield",3517200,1299.3,"SG",24,"TOT",82,55,1888,327,767,0.426,148,379,0.391,179,388,0.461,0.523,64,76,0.842,35,234,269,121,38,9,101,115,866
"hillge01","George Hill",8e+06,1215.4,"PG",30,"UTA",49,49,1544,289,606,0.477,94,233,0.403,195,373,0.523,0.554,157,196,0.801,23,144,167,204,50,11,85,114,829
"hillso01","Solomon Hill",11241218,1165.9,"SF",25,"NOP",80,71,2374,183,478,0.383,94,270,0.348,89,208,0.428,0.481,103,128,0.805,51,256,307,141,72,32,82,182,563
"holidjr01","Jrue Holiday",11286518,2052.8,"PG",26,"NOP",67,61,2190,405,893,0.454,100,281,0.356,305,612,0.498,0.51,119,168,0.708,46,218,264,488,100,44,194,133,1029
"holidju01","Justin Holiday",1015696,1112,"SG",27,"NYK",82,4,1639,233,538,0.433,97,273,0.355,136,265,0.513,0.523,66,80,0.825,27,198,225,102,65,31,66,109,629
"holliro01","Rondae Hollis-Jefferson",1395600,1394.4,"SF",22,"BRK",78,50,1761,235,542,0.434,15,67,0.224,220,475,0.463,0.447,190,253,0.751,96,356,452,154,82,44,116,177,675
"holmeri01","Richaun Holmes",1025831,1086.2,"C",23,"PHI",57,17,1193,230,412,0.558,27,77,0.351,203,335,0.606,0.591,72,103,0.699,94,217,311,58,42,55,55,136,559
"hoodro01","Rodney Hood",1406520,1077.4,"SG",24,"UTA",59,55,1593,272,666,0.408,114,307,0.371,158,359,0.44,0.494,90,115,0.783,16,186,202,96,38,11,65,132,748
"horfoal01","Al Horford",26540100,2068.5,"C",30,"BOS",68,68,2193,379,801,0.473,86,242,0.355,293,559,0.524,0.527,108,135,0.8,95,370,465,337,52,86,115,138,952
"howardw01","Dwight Howard",23180275,2202,"C",31,"ATL",74,74,2199,388,613,0.633,0,2,0,388,611,0.635,0.633,226,424,0.533,296,644,940,104,64,92,170,203,1002
"ibakase01","Serge Ibaka",12250000,547.7,"PF",27,"TOR",23,23,712,128,279,0.459,41,103,0.398,87,176,0.494,0.532,30,34,0.882,29,127,156,15,7,33,39,76,327
"ibakase01","Serge Ibaka",12250000,2049.1,"PF",27,"TOT",79,79,2422,471,982,0.48,124,317,0.391,347,665,0.522,0.543,107,125,0.856,129,409,538,75,41,124,105,215,1173
"ibakase01","Serge Ibaka",12250000,1501.4,"PF",27,"ORL",56,56,1710,343,703,0.488,83,214,0.388,260,489,0.532,0.547,77,91,0.846,100,282,382,60,34,91,66,139,846
"iguodan01","Andre Iguodala",11131368,1430.3,"SF",33,"GSW",76,0,1998,219,415,0.528,64,177,0.362,155,238,0.651,0.605,72,102,0.706,51,253,304,261,76,39,58,97,574
"inglejo01","Joe Ingles",2150000,1282.7,"SF",29,"UTA",82,26,1972,204,451,0.452,123,279,0.441,81,172,0.471,0.589,50,68,0.735,23,238,261,225,96,8,107,163,581
"ingrabr01","Brandon Ingram",5281680,1291.2,"SF",19,"LAL",79,40,2279,276,686,0.402,55,187,0.294,221,499,0.443,0.442,133,214,0.621,60,256,316,166,50,36,116,158,740
"irvinky01","Kyrie Irving",17638063,2456,"PG",24,"CLE",72,72,2525,671,1420,0.473,177,441,0.401,494,979,0.505,0.535,297,328,0.905,52,178,230,418,83,24,180,157,1816
"jacksde01","Demetrius Jackson",1450000,16.3,"PG",22,"BOS",5,0,17,3,4,0.75,1,1,1,2,3,0.667,0.875,3,6,0.5,2,2,4,3,0,0,0,0,10
"jacksre01","Reggie Jackson",14956522,1141.8,"PG",26,"DET",52,50,1424,284,677,0.419,66,184,0.359,218,493,0.442,0.468,118,136,0.868,21,93,114,270,35,5,114,129,752
"jamesle01","LeBron James",30963450,3300.8,"SF",32,"CLE",74,74,2794,736,1344,0.548,124,342,0.363,612,1002,0.611,0.594,358,531,0.674,97,542,639,646,92,44,303,134,1954
"johnsja01","James Johnson",4e+06,1841.2,"PF",29,"MIA",76,5,2085,368,769,0.479,87,256,0.34,281,513,0.548,0.535,152,215,0.707,66,310,376,276,76,86,171,197,975
"johnsjo02","Joe Johnson",1.1e+07,1198.6,"SF",35,"UTA",78,14,1843,273,626,0.436,106,258,0.411,167,368,0.454,0.521,63,77,0.818,33,210,243,144,36,18,69,93,715
"johnsst04","Stanley Johnson",2969880,776.3,"SF",20,"DET",77,1,1371,129,365,0.353,45,154,0.292,84,211,0.398,0.415,36,53,0.679,36,153,189,105,56,24,71,121,339
"johnsty01","Tyler Johnson",5628000,1674.1,"PG",24,"MIA",73,0,2178,357,824,0.433,93,250,0.372,264,574,0.46,0.49,195,254,0.768,50,243,293,233,84,44,90,176,1002
"jonesty01","Tyus Jones",1339680,558.4,"PG",20,"MIN",60,0,774,75,181,0.414,26,73,0.356,49,108,0.454,0.486,33,43,0.767,10,57,67,156,48,5,38,50,209
"jordade01","DeAndre Jordan",21165675,2559.8,"C",28,"LAC",81,81,2570,412,577,0.714,0,2,0,412,575,0.717,0.714,205,425,0.482,298,816,1114,96,51,134,115,212,1029
"josepco01","Cory Joseph",7315000,1375.5,"PG",25,"TOR",80,22,2003,299,661,0.452,48,135,0.356,251,526,0.477,0.489,94,122,0.77,51,184,235,265,66,13,108,140,740
"kaminfr01","Frank Kaminsky",2730000,1486.2,"C",23,"CHO",75,16,1954,320,802,0.399,116,354,0.328,204,448,0.455,0.471,118,156,0.756,57,279,336,162,46,34,76,139,874
"kanteen01","Enes Kanter",17145838,1504.9,"C",24,"OKC",72,0,1533,402,737,0.545,5,38,0.132,397,699,0.568,0.549,224,285,0.786,195,287,482,67,32,38,123,154,1033
