Name,Team,Salary,Column 7
"Terrence Ross, SG",Toronto Raptors,10000000.00,
"Danny Green, SG",San Antonio Spurs,10000000.00,
"Omer Asik, C",New Orleans Pelicans,9904494.00,
"Iman Shumpert, SG",Cleveland Cavaliers,9662922.00,
NAME,TEAM,SALARY,
"Matthew Dellavedova, PG",Milwaukee Bucks,9607500.00,
"Jerryd Bayless, G",Philadelphia 76ers,9424084.00,
"Trevor Booker, F",Brooklyn Nets,9250000.00,
"Meyers Leonard, PF",Portland Trail Blazers,9213483.00,
"Gerald Henderson, SG",Philadelphia 76ers,9000000.00,
"Maurice Harkless, SF",Portland Trail Blazers,8988765.00,
"Taj Gibson, PF",Oklahoma City Thunder,8950000.00,
"Jeff Teague, PG",Indiana Pacers,8800000.00,
"Tiago Splitter, C",Philadelphia 76ers,8550000.00,
"Ersan Ilyasova, PF",Oklahoma City Thunder,8400000.00,
NAME,TEAM,SALARY,
"Dwight Powell, PF",Dallas Mavericks,8375000.00,
"Avery Bradley, PG",Boston Celtics,8269663.00,
"E'Twaun Moore, SG",New Orleans Pelicans,8081363.00,
"Darrell Arthur, F",Denver Nuggets,8070175.00,
"Kosta Koufos, C",Sacramento Kings,8046500.00,
"Anthony Tolliver, PF",Sacramento Kings,8000000.00,
"Sergio Rodriguez, PG",Philadelphia 76ers,8000000.00,
"Garrett Temple, SG",Sacramento Kings,8000000.00,
"Kevin Garnett, PF",Minnesota Timberwolves,8000000.00,
"George Hill, PG",Utah Jazz,8000000.00,
NAME,TEAM,SALARY,
"Yi Jianlian, SF",Los Angeles Lakers,8000000.00,
"Tyler Zeller, C",Boston Celtics,8000000.00,
"Trevor Ariza, SF",Houston Rockets,7806971.00,
"Channing Frye, F",Cleveland Cavaliers,7806971.00,
"Al-Farouq Aminu, PF",Portland Trail Blazers,7680965.00,
"Cole Aldrich, C",Minnesota Timberwolves,7643979.00,
"Corey Brewer, F",Los Angeles Lakers,7612172.00,
"Festus Ezeli, C",Portland Trail Blazers,7400000.00,
"Markieff Morris, PF",Washington Wizards,7400000.00,
"JJ Redick, SG",LA Clippers,7377500.00,
NAME,TEAM,SALARY,
"Cory Joseph, PG",Toronto Raptors,7315000.00,
"D.J. Augustin, PG",Orlando Magic,7250000.00,
"Boris Diaw, C",Utah Jazz,7000000.00,
"Lou Williams, SG",Los Angeles Lakers,7000000.00,
"Rodney Stuckey, PG",Indiana Pacers,7000000.00,
"Boban Marjanovic, C",Detroit Pistons,7000000.00,
"Ed Davis, C",Portland Trail Blazers,6666667.00,
"Isaiah Thomas, PG",Boston Celtics,6587132.00,
"Victor Oladipo, SG",Oklahoma City Thunder,6552961.00,
"Jodie Meeks, G",Orlando Magic,6540000.00,
NAME,TEAM,SALARY,
"Jeremy Lamb, SG",Charlotte Hornets,6511628.00,
