Name,Team,Salary
NAME,TEAM,SALARY
"Stephen Curry, PG",Golden State Warriors,37457154.00
"Chris Paul, PG",Houston Rockets,35654150.00
"LeBron James, SF",Los Angeles Lakers,35654150.00
"Russell Westbrook, PG",Oklahoma City Thunder,35654150.00
"Blake Griffin, PF",Detroit Pistons,32088932.00
"Gordon Hayward, SF",Boston Celtics,31214295.00
"Kyle Lowry, PG",Toronto Raptors,31200000.00
"Paul George, SF",Oklahoma City Thunder,30560700.00
"Mike Conley, PG",Memphis Grizzlies,30521115.00
"James Harden, PG",Houston Rockets,30421854.00
NAME,TEAM,SALARY
"Kevin Durant, SF",Golden State Warriors,30000000.00
"Paul Millsap, PF",Denver Nuggets,29230769.00
"Al Horford, C",Boston Celtics,28928709.00
"Damian Lillard, PG",Portland Trail Blazers,27977689.00
"DeMar DeRozan, SG",San Antonio Spurs,27739975.00
"Otto Porter Jr., SF",Washington Wizards,26011913.00
"Jrue Holiday, SG",New Orleans Pelicans,25976111.00
"CJ McCollum, SG",Portland Trail Blazers,25759766.00
"Joel Embiid, C",Philadelphia 76ers,25467250.00
"Andrew Wiggins, SF",Minnesota Timberwolves,25467250.00
NAME,TEAM,SALARY
"Bradley Beal, SG",Washington Wizards,25434263.00
"Anthony Davis, PF",New Orleans Pelicans,25434263.00
"Andre Drummond, C",Detroit Pistons,25434263.00
"Hassan Whiteside, C",Miami Heat,25434262.00
"Nikola Jokic, C",Denver Nuggets,24605181.00
"Steven Adams, C",Oklahoma City Thunder,24157303.00
"Giannis Antetokounmpo, PF",Milwaukee Bucks,24157303.00
"Marc Gasol, C",Memphis Grizzlies,24119025.00
"Kevin Love, PF",Cleveland Cavaliers,24119025.00
"Harrison Barnes, SF",Sacramento Kings,24107258.00
NAME,TEAM,SALARY
"Chandler Parsons, SF",Memphis Grizzlies,24107258.00
"Nicolas Batum, SG",Charlotte Hornets,24000000.00
"Rudy Gobert, C",Utah Jazz,23241573.00
"Kawhi Leonard, SF",Toronto Raptors,23114067.00
"DeAndre Jordan, C",New York Knicks,22897200.00
"LaMarcus Aldridge, C",San Antonio Spurs,22347015.00
"Serge Ibaka, PF",Toronto Raptors,21666667.00
"Aaron Gordon, PF",Orlando Magic,21590909.00
"Danilo Gallinari, PF",LA Clippers,21587579.00
"Victor Oladipo, SG",Indiana Pacers,21000000.00
NAME,TEAM,SALARY
"Jimmy Butler, SF",Philadelphia 76ers,20445779.00
"Ryan Anderson, F",Phoenix Suns,20421546.00
"Kyrie Irving, PG",Boston Celtics,20099189.00
"Jabari Parker, PF",Washington Wizards,20000000.00
"Zach LaVine, PG",Chicago Bulls,19500000.00
"Tyler Johnson, SG",Phoenix Suns,19356932.00
"Tim Hardaway Jr., SG",New York Knicks,19200127.00
"John Wall, PG",Washington Wizards,19169800.00
"Jeff Teague, PG",Minnesota Timberwolves,19000000.00
"George Hill, PG",Milwaukee Bucks,19000000.00
NAME,TEAM,SALARY
"Klay Thompson, SG",Golden State Warriors,18988725.00
"Allen Crabbe, SG",Brooklyn Nets,18500000.00
"Goran Dragic, PG",Miami Heat,18109175.00
"Kent Bazemore, SG",Atlanta Hawks,18089887.00
"Evan Turner, SG",Portland Trail Blazers,17868853.00
"Draymond Green, PF",Golden State Warriors,17469565.00
"Tristan Thompson, C",Cleveland Cavaliers,17469565.00
"Evan Fournier, SG",Orlando Magic,17150000.00
"Reggie Jackson, PG",Detroit Pistons,17043478.00
"Bismack Biyombo, C",Charlotte Hornets,17000000.00
NAME,TEAM,SALARY
"Derrick Favors, PF",Utah Jazz,16900000.00
"Jonas Valanciunas, C",Memphis Grizzlies,16539326.00
"Gary Harris, SG",Denver Nuggets,16517857.00
"Andre Iguodala, SG",Golden State Warriors,16000000.00
"Timofey Mozgov, C",Orlando Magic,16000000.00
"Ian Mahinmi, C",Washington Wizards,15944154.00
"Dennis Schroder, PG",Oklahoma City Thunder,15500000.00
"DeMarre Carroll, SF",Brooklyn Nets,15400000.00
"Gorgui Dieng, C",Minnesota Timberwolves,15170787.00
"Trevor Ariza, SF",Washington Wizards,15000000.00
NAME,TEAM,SALARY
"Eric Bledsoe, PG",Milwaukee Bucks,15000000.00
"Ricky Rubio, PG",Utah Jazz,14975000.00
"Tobias Harris, SF",Philadelphia 76ers,14800000.00
"JR Smith, G",Cleveland Cavaliers,14720000.00
"James Johnson, PF",Miami Heat,14651700.00
"Luke Babbitt, F",Miami Heat,14651700.00
"Brandon Knight, PG",Houston Rockets,14631250.00
"Robin Lopez, C",Chicago Bulls,14357750.00
"Marvin Williams, PF",Charlotte Hornets,14087500.00
"Taj Gibson, PF",Minnesota Timberwolves,14000000.00
NAME,TEAM,SALARY
"Thaddeus Young, PF",Indiana Pacers,13964045.00
"Clint Capela, C",Houston Rockets,13793104.00
"Marcin Gortat, C",LA Clippers,13565218.00
"Cody Zeller, PF",Charlotte Hornets,13528090.00
"Eric Gordon, SG",Houston Rockets,13500375.00
"Joe Ingles, SF",Utah Jazz,13045455.00
"Michael Kidd-Gilchrist, SF",Charlotte Hornets,13000000.00
"Khris Middleton, SF",Milwaukee Bucks,13000000.00
"Mason Plumlee, PF",Denver Nuggets,12917808.00
"Wilson Chandler, SF",Philadelphia 76ers,12800562.00
NAME,TEAM,SALARY
"Nikola Vucevic, C",Orlando Magic,12750000.00
"Kelly Olynyk, PF",Miami Heat,12537527.00
"Miles Plumlee, C",Atlanta Hawks,12500000.00
"Nikola Mirotic, F",Milwaukee Bucks,12500000.00
