"player_id","player_name.x","SALARY","fantasy_points","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","salaryPerPoints","predResponse"
"hawessp01","Spencer Hawes",6348759,154.5,"PF",28,"MIL",19,0,171,30,59,0.508,9,26,0.346,21,33,0.636,0.585,14,18,0.778,6,39,45,19,2,4,9,16,83,41092.2912621359,"37621.6684359193"
"hawessp01","Spencer Hawes",6348759,530.2,"PF",28,"CHO",35,1,626,104,218,0.477,16,55,0.291,88,163,0.54,0.514,30,34,0.882,32,114,146,62,13,26,40,61,254,11974.2719728404,"20582.3372970306"
"hawessp01","Spencer Hawes",6348759,684.7,"PF",28,"TOT",54,1,797,134,277,0.484,25,81,0.309,109,196,0.556,0.529,44,52,0.846,38,153,191,81,15,30,49,77,337,9272.3221848985,"10835.8211250176"
"haywago01","Gordon Hayward",16073140,2135.8,"SF",26,"UTA",73,73,2516,545,1156,0.471,149,374,0.398,396,782,0.506,0.536,362,429,0.844,49,345,394,252,73,20,140,117,1601,7525.58291974904,"7982.33016749694"
"hensojo01","John Henson",12517606,919.5,"C",26,"MIL",58,39,1123,159,309,0.515,0,1,0,159,308,0.516,0.515,74,107,0.692,92,203,295,57,29,78,52,151,392,13613.49211528,"9082.27741532909"
"hezonma01","Mario Hezonja",3909840,577.2,"SF",21,"ORL",65,2,960,117,330,0.355,43,144,0.299,74,186,0.398,0.42,40,50,0.8,20,126,146,62,30,15,58,74,317,6773.80457380457,"5198.02703639107"
"hieldbu01","Buddy Hield",3517200,775.7,"SG",24,"NOP",57,37,1161,185,471,0.393,89,241,0.369,96,230,0.417,0.487,29,33,0.879,19,147,166,77,18,7,48,81,488,4534.22714967126,"5263.12240114979"
"hieldbu01","Buddy Hield",3517200,523.6,"SG",24,"SAC",25,18,727,142,296,0.48,59,138,0.428,83,158,0.525,0.579,35,43,0.814,16,87,103,44,20,2,53,34,378,6717.34148204736,"23686.8891574684"
"hieldbu01","Buddy Hield",3517200,1299.3,"SG",24,"TOT",82,55,1888,327,767,0.426,148,379,0.391,179,388,0.461,0.523,64,76,0.842,35,234,269,121,38,9,101,115,866,2706.99607480951,"5797.23880139135"
"hillge01","George Hill",8e+06,1215.4,"PG",30,"UTA",49,49,1544,289,606,0.477,94,233,0.403,195,373,0.523,0.554,157,196,0.801,23,144,167,204,50,11,85,114,829,6582.19516208656,"10967.1342838406"
"hillso01","Solomon Hill",11241218,1165.9,"SF",25,"NOP",80,71,2374,183,478,0.383,94,270,0.348,89,208,0.428,0.481,103,128,0.805,51,256,307,141,72,32,82,182,563,9641.66566600909,"6856.53408163195"
"holidjr01","Jrue Holiday",11286518,2052.8,"PG",26,"NOP",67,61,2190,405,893,0.454,100,281,0.356,305,612,0.498,0.51,119,168,0.708,46,218,264,488,100,44,194,133,1029,5498.10892439595,"8028.91622734212"
